"E","824-A1","2","0300","DTM","01","","","374","348","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","349","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","350","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","351","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","356","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","357","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","360","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","361","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","370","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","372","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","383","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","388","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","393","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","394","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","405","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","431","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","434","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","435","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","438","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","439","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","441","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","446","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","452","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","453","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","454","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","455","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","456","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","461","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","463","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","471","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","472","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","473","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","474","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","480","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","481","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","484","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","485","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","486","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","517","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","523","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","539","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","540","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","543","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","547","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","573","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","582","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","607","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","666","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","738","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","739","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","809","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","866","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","881","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","938","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","999","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","ABC","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","INC","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","ZZZ","2","0300","2"
"C","824-A1","2","0300","DTM","02","","","","","2","0300","5"
"C","824-A1","2","0300","DTM","03","","","","","2","0300","8"
"C","824-A1","2","0300","DTM","04","","","","","2","0300","8"
"C","824-A1","2","0300","DTM","05","","","","","2","0300","8"
"C","824-A1","2","0300","DTM","06","","","","","2","0300","8"
"B","824-A1","2","0500","","","","","","","2","0500","2"
